0.012500	-0.025000	-0.100000	-0.086962	-0.069330	-0.034874
0.012500	-0.025000	-0.090000	-0.079722	-0.062665	-0.031193
0.012500	-0.025000	-0.080000	-0.072482	-0.055999	-0.027512
0.012500	-0.025000	-0.070000	-0.065242	-0.049334	-0.023831
0.012500	-0.025000	-0.060000	-0.058002	-0.042668	-0.020150
0.012500	-0.025000	-0.050000	-0.050762	-0.036002	-0.016469
0.012500	-0.025000	-0.040000	-0.043522	-0.029337	-0.012788
0.012500	-0.025000	-0.030000	-0.036282	-0.022671	-0.009107
0.012500	-0.025000	-0.020000	-0.029042	-0.016006	-0.005426
0.012500	-0.025000	-0.010000	-0.021801	-0.009340	-0.001745
0.012500	-0.025000	-0.000000	-0.014561	-0.002674	0.001936
0.012500	-0.025000	0.010000	-0.007321	0.003991	0.005617
0.012500	-0.025000	0.020000	-0.000081	0.010657	0.009298
0.012500	-0.025000	0.030000	0.007159	0.017322	0.012979
0.012500	-0.025000	0.040000	0.014399	0.023988	0.016660
0.012500	-0.025000	0.050000	0.021639	0.030654	0.020342
0.012500	-0.025000	0.060000	0.028879	0.037319	0.024023
0.012500	-0.025000	0.070000	0.036119	0.043985	0.027704
0.012500	-0.025000	0.080000	0.043359	0.050650	0.031385
0.012500	-0.025000	0.090000	0.050599	0.057316	0.035066
0.012500	-0.015000	-0.100000	-0.079779	-0.065078	-0.034237
0.012500	-0.015000	-0.090000	-0.072538	-0.058412	-0.030556
0.012500	-0.015000	-0.080000	-0.065298	-0.051747	-0.026875
0.012500	-0.015000	-0.070000	-0.058058	-0.045081	-0.023194
0.012500	-0.015000	-0.060000	-0.050818	-0.038416	-0.019513
0.012500	-0.015000	-0.050000	-0.043578	-0.031750	-0.015832
0.012500	-0.015000	-0.040000	-0.036338	-0.025084	-0.012151
0.012500	-0.015000	-0.030000	-0.029098	-0.018419	-0.008470
0.012500	-0.015000	-0.020000	-0.021858	-0.011753	-0.004789
0.012500	-0.015000	-0.010000	-0.014618	-0.005088	-0.001108
